datetime,training_steps,policy_loss,value_loss,learning_rate,total_games,total_samples
2023-05-30 08:57:45,200200,1.0390633344650269,0.3627547025680542,0.0001,1020000,64915040
2023-05-30 08:57:53,200400,1.0215179920196533,0.3575166165828705,0.0001,1020000,64915040
2023-05-30 08:58:02,200600,1.041369915008545,0.3685624897480011,0.0001,1020000,64915040
2023-05-30 08:58:11,200800,1.0949413776397705,0.3832372725009918,0.0001,1020000,64915040
2023-05-30 08:58:20,201000,1.0701907873153687,0.35567134618759155,0.0001,1020000,64915040
2023-05-30 09:08:44,201200,1.0640077590942383,0.4094870686531067,0.0001,1025000,65165587
2023-05-30 09:08:54,201400,1.080880880355835,0.3902771472930908,0.0001,1025000,65165587
2023-05-30 09:09:04,201600,1.0370566844940186,0.3899608850479126,0.0001,1025000,65165587
2023-05-30 09:09:13,201800,1.0545611381530762,0.34489765763282776,0.0001,1025000,65165587
2023-05-30 09:09:23,202000,1.1020954847335815,0.3829645812511444,0.0001,1025000,65165587
2023-05-30 09:19:53,202200,1.017892599105835,0.4005526304244995,0.0001,1030000,65418562
2023-05-30 09:20:03,202400,1.0023208856582642,0.4152560234069824,0.0001,1030000,65418562
2023-05-30 09:20:12,202600,0.9243620038032532,0.37941473722457886,0.0001,1030000,65418562
2023-05-30 09:20:22,202800,1.1142040491104126,0.3873106837272644,0.0001,1030000,65418562
2023-05-30 09:20:32,203000,1.034855604171753,0.3869363069534302,0.0001,1030000,65418562
2023-05-30 09:31:02,203200,1.0861189365386963,0.3657868802547455,0.0001,1035000,65673240
2023-05-30 09:31:12,203400,1.084230661392212,0.39224207401275635,0.0001,1035000,65673240
2023-05-30 09:31:21,203600,1.1176865100860596,0.3642235994338989,0.0001,1035000,65673240
2023-05-30 09:31:31,203800,1.0027738809585571,0.3883765935897827,0.0001,1035000,65673240
2023-05-30 09:31:40,204000,1.0856304168701172,0.4181280732154846,0.0001,1035000,65673240
2023-05-30 09:42:08,204200,1.1581947803497314,0.4265524744987488,0.0001,1040000,65925098
2023-05-30 09:42:18,204400,1.135699987411499,0.37675124406814575,0.0001,1040000,65925098
2023-05-30 09:42:28,204600,1.1441195011138916,0.37192362546920776,0.0001,1040000,65925098
2023-05-30 09:42:37,204800,1.1205365657806396,0.3990137577056885,0.0001,1040000,65925098
2023-05-30 09:42:47,205000,1.189558744430542,0.3828672468662262,0.0001,1040000,65925098
2023-05-30 09:53:18,205200,1.1016833782196045,0.3886416554450989,0.0001,1045000,66180162
2023-05-30 09:53:27,205400,1.1178388595581055,0.3836037516593933,0.0001,1045000,66180162
2023-05-30 09:53:37,205600,1.049931526184082,0.37780559062957764,0.0001,1045000,66180162
2023-05-30 09:53:46,205800,0.993177056312561,0.36647742986679077,0.0001,1045000,66180162
2023-05-30 09:53:56,206000,1.131974458694458,0.36710503697395325,0.0001,1045000,66180162
2023-05-30 10:04:18,206200,1.224039077758789,0.3880367875099182,0.0001,1050000,66430055
2023-05-30 10:04:28,206400,1.132138967514038,0.3470843732357025,0.0001,1050000,66430055
2023-05-30 10:04:37,206600,1.0127378702163696,0.37653499841690063,0.0001,1050000,66430055
2023-05-30 10:04:47,206800,1.0438703298568726,0.4135146737098694,0.0001,1050000,66430055
2023-05-30 10:04:57,207000,0.9653184413909912,0.3731357157230377,0.0001,1050000,66430055
2023-05-30 10:15:20,207200,1.0937997102737427,0.3965747356414795,0.0001,1055000,66680948
2023-05-30 10:15:30,207400,1.0844018459320068,0.387003630399704,0.0001,1055000,66680948
2023-05-30 10:15:39,207600,1.0751715898513794,0.35304805636405945,0.0001,1055000,66680948
2023-05-30 10:15:49,207800,1.0846028327941895,0.3789815306663513,0.0001,1055000,66680948
2023-05-30 10:15:58,208000,1.062553882598877,0.447243332862854,0.0001,1055000,66680948
2023-05-30 10:26:24,208200,1.1317005157470703,0.42009711265563965,0.0001,1060000,66933752
2023-05-30 10:26:33,208400,1.0329275131225586,0.395687997341156,0.0001,1060000,66933752
2023-05-30 10:26:43,208600,1.129251480102539,0.4142102599143982,0.0001,1060000,66933752
2023-05-30 10:26:53,208800,1.062753677368164,0.40350592136383057,0.0001,1060000,66933752
2023-05-30 10:27:02,209000,1.0169910192489624,0.41331565380096436,0.0001,1060000,66933752
2023-05-30 10:37:27,209200,1.018627643585205,0.37809962034225464,0.0001,1065000,67187022
2023-05-30 10:37:37,209400,1.0104131698608398,0.4087797999382019,0.0001,1065000,67187022
2023-05-30 10:37:46,209600,1.0686861276626587,0.34645724296569824,0.0001,1065000,67187022
2023-05-30 10:37:56,209800,0.9491787552833557,0.4030478596687317,0.0001,1065000,67187022
2023-05-30 10:38:05,210000,1.1583423614501953,0.3438219428062439,0.0001,1065000,67187022
2023-05-30 10:48:28,210200,1.0448708534240723,0.3932616114616394,0.0001,1070000,67439442
2023-05-30 10:48:37,210400,1.156453251838684,0.3656720519065857,0.0001,1070000,67439442
2023-05-30 10:48:47,210600,1.1430015563964844,0.37367624044418335,0.0001,1070000,67439442
2023-05-30 10:48:57,210800,1.1427116394042969,0.3795773684978485,0.0001,1070000,67439442
2023-05-30 10:49:06,211000,1.0182697772979736,0.4023573100566864,0.0001,1070000,67439442
